$ mvm ls --all
                                                   microVMs                                                   
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┓
┃ microvm id                            ┃ state      ┃ image                 ┃ version ┃ started             ┃
│ microvm-44488581-53a1-3583-927a-f732… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:00 │
│ microvm-4479bcd1-befc-3d7b-b8e6-1d33… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:02 │
│ microvm-45fd2daf-5c76-35ef-b341-4754… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:40:12 │
│ microvm-46b05805-2abd-3f32-8188-acf4… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:50 │
│ microvm-46b0b992-8442-3c9f-ac56-0efb… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:40 │
│ microvm-48a7c4ff-37e6-3322-a618-7671… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:07 │
│ microvm-493b6997-0e47-3045-aec8-83ca… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:21:13 │
│ microvm-4a11f1cc-70c9-3383-b352-9790… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:07:00 │
│ microvm-4a120861-89c1-3032-b8dc-a3f3… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:19 │
│ microvm-4b81c32b-cac3-394c-8593-2c33… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:43:26 │
│ microvm-4c401890-31de-3bf1-a796-dc91… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:30:33 │
│ microvm-4c5ab520-2551-3eff-a3e1-d35a… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:40:40 │
│ microvm-4cfc2342-3656-3ecb-81b1-f55a… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:10 │
│ microvm-4d73f90c-37ef-35f9-945f-0bc9… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:40:16 │
│ microvm-4d82dc3c-a081-3bed-81f6-b1cd… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:15 │
│ microvm-4d9a6661-3914-3475-8d1c-4ba8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:10:57 │
│ microvm-4e2f92a2-8bb5-3e0b-aa02-da85… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:54 │
│ microvm-4e993315-8b4c-3f75-89a3-5890… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:22:16 │
│ microvm-4f5b5a0b-36ca-3963-a249-e7d6… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:58 │
│ microvm-5076ee88-8ca7-326d-957e-e6dd… │ TERMINATED │ handoff-agent         │ 1.0     │ 2026-09-20 12:13:44 │
│ microvm-50c0b8e2-2d9b-325a-9bcd-91ee… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:42:18 │
│ microvm-50e67600-47f9-3396-9d61-a74f… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:33 │
│ microvm-50f54fde-1a88-3a94-8526-88a5… │ TERMINATED │ handoff-agent         │ 1.0     │ 2026-09-20 12:13:32 │
│ microvm-52778c27-c51d-37a4-a53d-74c0… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:04:02 │
│ microvm-52f2ebab-d55a-3337-8498-0db1… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:18:58 │
│ microvm-5446c2ca-1a72-3a77-b9dc-52b4… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:29:00 │
│ microvm-55251502-777e-36b3-ad47-f8ba… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:31:23 │
│ microvm-56798b1a-5079-396d-883f-d5cd… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:25 │
│ microvm-573d2ae4-d319-38ec-8e16-0314… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:04:54 │
│ microvm-5746c5db-89a2-30e5-b93f-5cc2… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:40:15 │
│ microvm-57651254-3a3c-3af8-8925-2181… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:52 │
│ microvm-57f3a4b6-a975-3348-83b0-b837… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:38:38 │
│ microvm-57f4229f-eb86-3f90-96d5-68e9… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:08:53 │
│ microvm-5970313f-9aae-3248-8216-66d2… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:15:25 │
│ microvm-5abf5147-6ce1-3e9c-bcb4-2b39… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:25:28 │
│ microvm-5b51c38a-d927-3e0d-a50d-4f30… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:25:05 │
│ microvm-5d04e58c-389d-370e-a8e3-1625… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:05 │
│ microvm-5d774566-2fb4-34ce-8d07-ba20… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:36 │
│ microvm-5e6b6b18-a052-3f0b-b002-d66c… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:19:07 │
│ microvm-5ebbd035-6d22-3c8b-9ae9-1b2a… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:32 │
